식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,유형명,영양성분제공단위량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,1회분량,1회분량중량/부피,1일섭취횟수,섭취대상,식품중량/부피,품목제조신고번호,제조사명,수입업체명,유통업체명,수입여부,원산지국코드,원산지국명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자
F101-027270000-0046,솔가 웨이투고 단백질,F,건강기능식품,1,건강기능식품,01,영양성분,01027,단백질,0100027,단백질,00,해당없음,00,해당없음,,29000mg,120,,20.00,3.00,,3.00,1.00,,,,,,75,,,,,,,,,55.00,1.00,,1,식품의약품안전처,1스쿱,29000mg,1회,,377g,22US56315G6,"NELLSON NUTRACEUTICAL, LLC",(주)블루존닷컴,해당없음,Y,840,미국,2,수집,2022-12-20,2025-12-30
F103-002020000-0297,속편한 버퍼드 비타민C 1600,F,건강기능식품,1,건강기능식품,03,복합,03002,복합제품류,0300002,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,1600mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,1000.00,15.00,,,,1,식품의약품안전처,1정,1600mg,1회,,144g,22CA56103G5,NATURAL IMMIX HEALTH LIMITED,(주)피디에이치아이엔씨,해당없음,Y,124,캐나다,2,수집,2022-12-15,2025-12-30
F103-002020000-0296,속편한 버퍼드 비타민C 1600,F,건강기능식품,1,건강기능식품,03,복합,03002,복합제품류,0300002,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,1600mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,1000.00,15.00,,,,1,식품의약품안전처,1정,1600mg,1회,,144g,25CA00298G8,NATURAL LIFE NUTRITION INC.,(주)에프디랩,해당없음,Y,124,캐나다,2,수집,2025-06-13,2025-12-30
F102-017170000-0003,소야레시틴,F,건강기능식품,1,건강기능식품,02,기능성 원료,02017,레시틴,0200017,레시틴,00,해당없음,00,해당없음,,1200mg,9,,0.00,1.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1캡슐,1200mg,1회,,120g,23US64303G8,QN LABS,(주)한미통상,해당없음,Y,840,미국,2,수집,2023-11-09,2025-12-30
F102-004040000-0002,셀프로 클로렐라,F,건강기능식품,1,건강기능식품,02,기능성 원료,02004,클로렐라,0200004,클로렐라,00,해당없음,00,해당없음,,1200mg,4,,0.60,0.10,,0.20,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,2캡슐,1200mg,1회,,36g,24AT00023G5,NOVALABS GMBH,주식회사 티본,해당없음,Y,040,오스트리아,2,수집,2024-10-17,2025-12-30
F102-050500000-0064,셀티바 프로바이오틱스 100억,F,건강기능식품,1,건강기능식품,02,기능성 원료,02050,프로바이오틱스,0200050,프로바이오틱스,00,해당없음,00,해당없음,,500mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1캡슐,500mg,1회,,30g,23CA05042G3,NATURAL IMMIX HEALTH LIMITED,셀티바 주식회사,해당없음,Y,124,캐나다,2,수집,2023-01-20,2025-12-30
F103-002020000-0293,셀타치온 드림,F,건강기능식품,1,건강기능식품,03,복합,03002,복합제품류,0300002,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,270mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1정,270mg,1회,,32.40g,24CA00653G1,VITA NATURALS INC.,주식회사 엔큐엔에이,해당없음,Y,840,미국,2,수집,2024-11-21,2025-12-30
F103-002020000-0295,셀타치온 드림,F,건강기능식품,1,건강기능식품,03,복합,03002,복합제품류,0300002,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,800mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1정,800mg,1회,,96g,24US00719G2,US PHARMATECH INC.,주식회사 엔큐엔에이,해당없음,Y,840,미국,2,수집,2024-03-26,2025-12-30
F103-002020000-0294,셀타치온 드림,F,건강기능식품,1,건강기능식품,03,복합,03002,복합제품류,0300002,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,800mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,,,,,,1,식품의약품안전처,1정,800mg,1회,,96g,23US31698G3,US PHARMATECH INC,주식회사 엔큐엔에이,해당없음,Y,840,미국,2,수집,2023-06-05,2025-12-30
F103-001010000-0955,셀크비,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,1450mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,50.00,,,,,1,식품의약품안전처,1정,1450mg,1회,,87g,23CA20024G7,NATURAL LIFE NUTRITION INC.,(주)더블유에이치글로벌,해당없음,Y,124,캐나다,2,수집,2023-04-10,2025-12-30
F103-001010000-0953,셀크롬 혈당케어 바나바,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,900mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,50.00,,,,,1,식품의약품안전처,1정,900mg,1회,,54g,22US57133G7,US PHARMATECH INC,주식회사 파마시뱅크,해당없음,Y,840,미국,2,수집,2022-12-20,2025-12-30
F103-001010000-0954,셀크롬 혈당케어 바나바,F,건강기능식품,1,건강기능식품,03,복합,03001,"복합제품(영양소, 기능성)",0300001,"복합제품(영양소, 기능성)",00,해당없음,00,해당없음,,900mg,0,,0.00,0.00,,0.00,,,,,,,0,,,,,,,50.00,,,,,1,식품의약품안전처,1정,900mg,1회,,54g,25US00382G2,US PHARMATECH NV INC.,팜셀,해당없음,Y,840,미국,2,수집,2025-03-05,2025-12-30
